,n_chunks,num_silent_chunks,total_silence_len,num_child_chunks,total_child_len,num_engaged_chunks,duration_engaged,num_disengaged_chunks,duration_disengaged,num_adult_chunks,total_adult_len,audio
0,339,149,4412800,88,3788000,35,2112000,53,1676000,102,6996000,P12_S1.wav
0,208,97,2548800,74,4392000,57,3976000,17,416000,37,2360000,P14_S1.wav
0,167,82,2300800,56,3348000,38,2940000,18,408000,29,2208000,P15_S1.wav
0,213,70,5128000,37,2112000,24,1472000,13,640000,106,2704800,P18_S1.wav
0,245,0,0,150,7440000,111,6928000,39,512000,95,2244800,P24_S2.wav
0,253,56,3184000,73,3376000,55,3056000,18,320000,124,4424800,P21_S3.wav
0,93,24,1008000,26,1776000,24,1744000,2,32000,43,1552800,P18_S3.wav
0,197,81,2300800,64,2884000,54,2736000,10,148000,52,2976000,P13_S3.wav
0,158,40,2184800,41,2556000,38,2532000,3,24000,77,2148000,P44_S2.wav
0,138,58,1544800,34,2700000,32,2680000,2,20000,46,1432000,P46_S2.wav
0,277,117,3404800,102,5656000,75,5284000,27,372000,58,3152000,P39_S3.wav
0,266,118,2992800,96,5532000,62,4952000,34,580000,52,3000000,P25_S3.wav
0,177,0,0,117,4964000,39,3088000,78,1876000,60,2408800,P40_S3.wav
0,209,71,1696800,60,2836000,51,2748000,9,88000,78,2932000,P28_S3.wav
0,212,67,2192000,59,3744000,43,3492000,16,252000,86,2832800,P34_S2.wav
